id	emotion
34170_0002_A_12	-0.023603476583957672,0.0038655484095215797,0.009652633219957352,0.026926733553409576,0.0019612684845924377,0.11391788721084595
34170_0002_A_14	-0.09835706651210785,0.025066711008548737,0.014851320534944534,0.07536733150482178,0.015371046960353851,0.13435117900371552
34170_0003_A_16	-0.12247049808502197,0.048575595021247864,0.0068055130541324615,0.045488033443689346,0.16399939358234406,0.029913723468780518
34170_0003_A_17	-0.04662657901644707,0.07916650176048279,-0.027672167867422104,0.0046576326712965965,0.1123046725988388,0.33478495478630066
34170_0003_A_18	-0.07916352152824402,0.04096558690071106,-0.016255196183919907,0.03304174914956093,0.0835985466837883,0.3599962294101715
34170_0003_A_20	-0.10178588330745697,0.035666242241859436,0.28081944584846497,-0.10849637538194656,-0.01888716220855713,0.5331675410270691
34170_0003_A_21	-0.13301700353622437,0.01839582622051239,0.048649583011865616,0.03580882027745247,0.027349114418029785,0.10084468126296997
34170_0004_A_24	-0.04635779932141304,0.04687700420618057,-0.007196616381406784,0.03609722480177879,0.049947164952754974,-0.06047165021300316
34170_0004_A_25	1.0750938653945923,0.44146308302879333,-0.011403780430555344,-0.22807447612285614,0.20680317282676697,0.7837918400764465
34170_0004_A_26	1.1888643503189087,0.48949697613716125,-0.07924379408359528,-0.23647718131542206,0.2532396912574768,0.5428988337516785
34170_0004_A_27	-0.04838832840323448,0.019779019057750702,0.0103362537920475,0.003964531235396862,0.023492395877838135,0.012549764476716518
34170_0004_A_28	-0.02290979027748108,-0.00201613362878561,-0.013303276151418686,0.014294496737420559,0.09417175501585007,0.07812858372926712
34170_0005_A_31	0.26748695969581604,0.7522104978561401,0.09245473146438599,-0.10226240754127502,-0.03479211777448654,0.105290986597538
34170_0005_A_33	0.06038636341691017,0.07370790094137192,0.10509294271469116,-0.03035159409046173,0.2723473310470581,0.05296700820326805
34170_0005_A_35	-0.046045515686273575,0.028987236320972443,0.055201206356287,0.22515763342380524,0.10863570123910904,0.3342694044113159
34170_0004_A_29	0.11337874829769135,-0.0015928884968161583,-0.016181539744138718,-0.020696740597486496,0.18402646481990814,0.09128724038600922
34170_0005_A_34	0.06423452496528625,0.31609591841697693,-0.009550433605909348,0.06000421196222305,0.10673721879720688,0.2727745473384857
34170_0005_A_36	-0.08486689627170563,0.03883729130029678,0.0231546051800251,0.07919853925704956,-0.003427267074584961,0.1143936961889267
34170_0005_A_32	-0.15811054408550262,0.0669993907213211,0.02020784094929695,0.033139392733573914,-0.04260548949241638,0.025072772055864334
34170_0007_A_42	-0.08879858255386353,-0.025899119675159454,0.001249510794878006,0.07946516573429108,-0.003465712070465088,0.2910742461681366
